F-volt,Object,Type
4.320625611,wood,H
4.320625611,wood,H
4.315738025,wood,H
4.320625611,wood,H
4.276637341,wood,H
4.325513196,wood,H
4.330400782,wood,H
4.31085044,wood,H
4.330400782,wood,H
4.325513196,wood,H
4.330400782,wood,H
4.335288368,wood,H
4.345063539,wood,H
4.340175953,wood,H
4.325513196,wood,H
4.35483871,wood,H
4.349951124,wood,H
4.349951124,wood,H
4.35483871,wood,H
4.340175953,wood,H
4.345063539,wood,H
4.379276637,wood,H
4.379276637,wood,H
4.374389052,wood,H
4.477028348,PP,H
4.447702835,PP,H
4.413489736,PP,H
4.45259042,PP,H
4.462365591,PP,H
4.516129032,PP,H
4.550342131,PP,H
4.54056696,PP,H
4.569892473,PP,H
4.565004888,PP,H
4.579667644,PP,H
4.594330401,PP,H
4.58455523,PP,H
4.599217986,PP,H
4.599217986,PP,H
4.579667644,PP,H
4.54056696,PP,H
4.247311828,PP,H
3.455522972,PP,H
4.481915934,PP,H
4.491691105,PP,H
4.486803519,PP,H
4.535679374,PP,H
4.550342131,PP,H
4.560117302,PP,H
4.565004888,PP,H
4.565004888,PP,H
4.579667644,PP,H
4.579667644,PP,H
4.579667644,PP,H
4.594330401,PP,H
4.604105572,PP,H
4.604105572,PP,H
4.604105572,PP,H
4.608993157,PP,H
4.618768328,PP,H
4.618768328,PP,H
4.618768328,PP,H
4.6285435,PP,H
4.633431085,PP,H
4.638318671,PP,H
4.633431085,PP,H
4.643206256,PP,H
4.633431085,PP,H
4.604105572,PP,H
4.608993157,PP,H
4.608993157,PP,H
4.58455523,PP,H
4.604105572,PP,H
4.589442815,PP,H
4.613880743,PP,H
4.594330401,PP,H
4.613880743,PP,H
4.613880743,PP,H
4.6285435,PP,H
4.618768328,PP,H
4.6285435,PP,H
4.623655914,PP,H
4.623655914,PP,H
4.633431085,PP,H
4.638318671,PP,H
4.618768328,PP,H
4.623655914,PP,H
4.6285435,PP,H
4.633431085,PP,H
4.638318671,PP,H
4.643206256,PP,H
4.638318671,PP,H
4.633431085,PP,H
4.643206256,PP,H
4.599217986,PP,H
4.623655914,PP,H
4.599217986,PP,H
4.633431085,PP,H
4.638318671,PP,H
4.648093842,PP,H
4.643206256,PP,H
4.633431085,PP,H
4.643206256,PP,H
4.633431085,PP,H
4.643206256,PP,H
4.643206256,PP,H
4.633431085,PP,H
4.618768328,PP,H
4.633431085,PP,H
4.6285435,PP,H
4.545454545,PP,H
4.159335288,PP,H
4.130009775,PP,H
4.374389052,PP,H
4.49657869,PP,H
4.45259042,PP,H
4.45259042,PP,H
4.393939394,PP,H
4.437927664,PP,H
4.462365591,PP,H
4.491691105,PP,H
4.428152493,PP,H
4.433040078,PP,H
4.472140762,PP,H
4.433040078,PP,H
4.442815249,PP,H
4.472140762,PP,H
4.462365591,PP,H
4.511241447,PP,H
4.545454545,PP,H
4.560117302,PP,H
4.589442815,PP,H
4.58455523,PP,H
4.618768328,PP,H
4.633431085,PP,H
4.643206256,PP,H
4.652981427,PP,H
4.648093842,PP,H
4.652981427,PP,H
4.652981427,PP,H
4.652981427,PP,H
4.638318671,PP,H
4.638318671,PP,H
4.648093842,PP,H
4.623655914,PP,H
4.638318671,PP,H
4.6285435,PP,H
4.056695992,PP,H
4.413489736,PP,H
4.521016618,PP,H
4.467253177,PP,H
4.477028348,PP,H
4.384164223,PP,H
4.599217986,PP,H
4.604105572,PP,H
4.389051808,PP,H
4.701857283,PP,H
4.433040078,PP,H
4.565004888,PP,H
4.555229717,PP,H
4.565004888,PP,H
4.550342131,PP,H
4.54056696,PP,H
4.530791789,PP,H
4.560117302,PP,H
4.58455523,PP,H
4.594330401,PP,H
